
2022-10-3,0:20:42
BNM,,RHB,,MoneyMatch,,Markup vs RHB(%),Markup vs BNM (%)
USD,4.6375,USD,4.62595,USD,4.7108,1.834,1.581
CNY,65.09,CNY,65.27495,100CNY,66.0902,1.249,1.537
EUR,4.5568,EUR,4.5524000000000004,EUR,4.6153,1.382,1.284
SGD,3.2378,SGD,3.2332,SGD,3.2697,1.129,0.985
IDR,0.0304,IDR,0.03035,100IDR,0.0307,1.153,0.987
JPY,3.2055,JPY,3.20545,100JPY,3.2218,0.51,0.509

2022-10-3,0:20:53
BNM,,RHB,,MoneyMatch,,Markup vs RHB(%),Markup vs BNM (%)
USD,4.6375,USD,4.62595,USD,4.7108,1.834,1.581
CNY,65.09,CNY,65.27495,100CNY,66.0902,1.249,1.537
EUR,4.5568,EUR,4.5524000000000004,EUR,4.6153,1.382,1.284
SGD,3.2378,SGD,3.2332,SGD,3.2697,1.129,0.985
IDR,0.0304,IDR,0.03035,100IDR,0.0307,1.153,0.987
JPY,3.2055,JPY,3.20545,100JPY,3.2218,0.51,0.509
